Título,Puntuación IMDb,Directores,Guionistas,Argumento,ID
Enemy,"5,3",Bruce Pattison,Bruce Pattison,"In the near future, a black presidential candidate is assassinated, igniting a race war that leaves the inner cities desolate. A female reporter tries to make sense of the war and of two participants in particular; one black and one white.",tt0116202
Jaded,"5,4",Caryn Krooth,"Wendy Olinger, Caryn Krooth","At the local bar, one drink leads to another, and Megan ends up skinny-dipping with Pat and Alex. And then, comes the rape. Now, she wants justice; but is she as innocent as she thinks? In the end, what really happened that fateful night?",tt0116675
Die kaukasische Nacht,"8,0",Gordian Maugg,No disponible,"When a German businessman heads to Russia with his wife and son Stefan on a business venture following the end of the cold war, he quickly finds that the way east and west do business differs greatly. In the mean time his son Stefan forms a friendship with his fathers local business partners son Tengis. Tengis is in no way an average teenager continually in a psycholo... Leer todo",tt0116753
Ku jia tian xia,"6,3",Jamie Luk,Jamie Luk,Self-styled ladies man Richard Ng gets depressed when all those around him are finding love while he remains single.,tt0095469
Drei Herren,"6,9",Nikolaus Leytner,"Nikolaus Leytner, Max Linder","A summer therapy session in the countryside is planned for three psychiatric patients. When their bus driver suffers a heart attack, they find themselves stranded in the wrong village.",tt0112901
Cláusula de escape,"6,0",Alan Cohn,"Anthony Abrams, Adam Larson Broder, Michael Traeger","Josh es estudioso, Cooper es vida más holgazán, contagia a Josh, y pronto están en peligro de reprobar. Pero una regla de la universidad le otorga un 10 a quienes hayan sufrido el trauma del suicidio de un compañero de cuarto.",tt0118301
Abril,"6,9",Nanni Moretti,Nanni Moretti,Nanni Moretti echa un vistazo cómico a los flujos y reflujos de su vida cuando se convierte en padre por primera vez. Lucha con las distracciones mientras intenta hacer un documental sobre las elecciones nacionales italianas.,tt0118635
Demasiado profundo,"6,6",David Dobkin,Matthew L. Healy,"After hearing that his wife sleeps with Clay, Earl kills himself, making it look like Clay shot him. The widow doesn't like it when Clay starts sees another woman instead. Bodies start piling up.",tt0118863
Bulworth,"6,8",Warren Beatty,"Warren Beatty, Jeremy Pikser","Un político liberal suicidamente desilusionado firma un contrato consigo mismo y aprovecha la oportunidad para ser francamente honesto con sus votantes, afectando a los ritmos y al discurso de la música y la cultura hip-hop.",tt0118798
Dieu seul me voit,"6,9",Bruno Podalydès,"Bruno Podalydès, Denis Podalydès",A sound engineer who is chronically hesitant has to make a hard choice between three successively charming young women.,tt0118978
Amaneció de golpe,"5,8",Carlos Azpúrua,José Ignacio Cabrujas,"The film follows the events of the night of February 4, 1992 in Caracas, Venezuela. That night a group of military rebels staged a coup d'etat. Venezuelans found themselves as virtual prisoners. As the coup starts and fighting takes place from a military base which is in the center of the city's most affluent areas, with both luxury high rises and palatial mansions. T... Leer todo",tt0112340
Kabhi Na Kabhi,"4,2",Priyadarshan,Javed Akhtar,"Raja replaces Jagga, a criminal's henchman, after he is arrested owing to a witness's testimony. Later, Jagga promises to kill the witness, who is none other than Raja's father.",tt0116737
Medidas desesperadas,"6,1",Barbet Schroeder,David Klass,"Frank Conner es un policía honesto que necesita salvar la vida de su hijo. Tras perder toda esperanza, descubre que el criminal en prisión Peter McCabe podría ayudarle.",tt0118966
El espíritu de Brooklyn,"5,5",Frank Rainone,"Frank Rainone, Frederick Stroppel, Frank Rainone","Al Stanco has lived all of his life in Brooklyn and does some work for local crime lord, Danny Parente.",tt0118782
Airboss II: Preemptive Strike,"3,5",J. Christian Ingvordsen,"Matthew M. Howe, J. Christian Ingvordsen","High above the Earth, Top Gun pilot turned astronaut, Frank White commands his first Space Shuttle mission. While in orbit, the science team headed by Doctor Bender runs a critical experiment utilizing the unique properties of micro-gravity to cultivate a cure for the Ebola virus, the most lethal pathogen known to the human race. Back on Earth, an accident on the way ... Leer todo",tt0118569
Deep Rising: El misterio de las profundidades,"6,1",Stephen Sommers,Stephen Sommers,"Un grupo de secuestradores fuertemente armados aborda un lujoso transatlántico para saquearlo, solo para luchar contra una serie de criaturas marinas de gran tamaño, con tentáculos y devoradoras de hombres, que ya habían invadido el barco.",tt0118956
Juego mortal,"4,6",Dawn Natalia,"Michael M Luzzi, Michael M Luzzi","The administrator of a medical company is forced to match wits with a serial killer, who targets people who commit insurance fraud with the State's Medicaid system.",tt0118869
Holocausto samurai,"6,4",Lance Mungia,"Jeffrey Falcon, Lance Mungia","In the post-apocalyptic world of 1990s Nevada, a rock 'n' roll samurai on his way to Lost Vegas takes a young orphan boy under his protection as Death and his metalhead Horsemen chase after them.",tt0118736
Lurid Tales: The Castle Queen,"3,7",David DeCoteau,Randall Fontana,An erotic drama follows a modern young man on a virtual reality trip back to 17th-century England where men were men and women were readily available.,tt0116943
Vino iz oduvanchikov,"7,1",No disponible,No disponible,"Based on ""Dandelion Wine"", a 1957 novel by Ray Bradbury.",tt0115412
El chico de la selva,"3,7",Allan A. Goldstein,"John Lawson, Damian Lee, Ashok Amritraj",A boy living harmoniously with animals in the jungles of India helps an archaeologist thwart a greedy treasure hunter.,tt0116727
Animals with the Tollkeeper,"6,7",Michael Di Jiacomo,Michael Di Jiacomo,"While looking for paradise, a cab driver suddenly falls in love.",tt0118621
Dark City,"7,6",Alex Proyas,"Alex Proyas, Lem Dobbs, David S. Goyer","Un hombre lucha con los recuerdos de su pasado, que incluyen una esposa que no recuerda y un mundo de pesadilla del que nadie parece despertar.",tt0118929
Dr. Dolittle,"5,4",Betty Thomas,"Hugh Lofting, Nat Mauldin, Larry Levin",Un doctor descubre que puede comunicarse con los animales.,tt0118998
Decampitated,"4,6",Matt Cunningham,"Matt Cunningham, Ryan Lowery, Carolyn C. Miller","Seven friends are going camping at the infamous DeCamp acres for a weekend. But they crash their car and have to walk, encountering a psychopath who tries to kill them one by one.",tt0118951
Shadowbuilder (La sombra del mal),"4,8",Jamie Dixon,"Michael Stokes, Bram Stoker","En un rito diabólico, se emplaza a una criatura maligna a destruir el mundo. Éste comienza entonces a cobrarse víctimas, pero a quien busca realmente es a un niño, que es el que tiene el potencial para detener su destrucción.",tt0117611
Gut Pile,"3,5",Jerry O'Sullivan,Jerry O'Sullivan,"While out hunting, Dan accidentally shoots another hunter. Rather than reporting the accident to the authorities, he chooses to bury the body and forget it ever happened. One year later, Dan returns to the same woods for a hunting trip with some friends. Their weekend starts out innocently enough, but while the guys are having fun, something is coming back to life in ... Leer todo",tt0119240
El fantasma de la ópera,"4,3",Dario Argento,"Gaston Leroux, Gérard Brach, Dario Argento","Gory remake of the Gaston Leroux classic story, only this time, the phantom is not disfigured, but a man who was raised by rats deep under the Paris Opera House.",tt0119889
Phantoms,"5,4",Joe Chappelle,Dean R. Koontz,"En la pacífica ciudad de Snowfield, Colorado, algo malvado ha acabado con la comunidad. Y ahora, depende de un grupo de personas detenerlo, o al menos salir con vida de Snowfield.",tt0119891
Conflicto de intereses,"5,7",Robert Altman,"John Grisham, Clyde Hayes","Un abogado usa su poder para ayudar a su amante a poner a su padre entre rejas, pero cuando escapa, todos corren peligro.",tt0119196
Fallen,"7,0",Gregory Hoblit,Nicholas Kazan,"El detective de homicidios John Hobbes presencia la ejecución del asesino en serie Edgar Reese. Poco después de la ejecución, los asesinatos comienzan de nuevo, y son muy similares al estilo de Reese.",tt0119099
¿Dónde está Marlowe?,"6,0",Daniel Pyne,"John Mankiewicz, Daniel Pyne","After making a 3-hour fiasco about New York City's water supply, a two-man film crew decides to take it up a notch by documenting life in the private investigator offices of ""Boone and Murphy"".",tt0118150
Doble juego,"5,6",Roland Joffé,"Ron Peer, Joel Cohen, Alec Sokolow","Sandra, casada con Jake, tiene un romance secreto con su cuñado Ben. Este último desaparece misteriosamente cuando Sandra descubre su atracción por Peggy, quien esconde un lado oscuro.",tt0119219
Fotografía mortal,"5,5",John Raffo,"William Preston Robertson, John Raffo","Johnny ""Skidmark"" Scardino is a free-lance crime-scene photographer and part-time blackmailer. When his associates begin to turn up murdered, he has a very short time to discover the killer before it is his turn.",tt0119416
Cartas de un asesino,"5,4",David Carson,"Nicholas Hicks-Beach, Shelley Miller, John Foster","Race Darnell es un convicto acusado de homicidio. En la cárcel, mantiene relaciones por correspondencia con cuatro mujeres diferentes. A causa de la venganza de uno de los dos carceleros, recibirá amenazas de muerte.",tt0119522
Al caer el sol,"6,2",Robert Benton,"Robert Benton, Richard Russo","Un detective retirado acepta una tarea simple, sin darse cuenta de que desgarrará heridas viejas y olvidadas, pero mortales.",tt0119594
Long Time Since,"4,7",Jay Anania,Jay Anania,"A woman laments for years following an unseen object that she struck with her car on a New Years Eve back at the turn of the year in 1972. She lives in a stark apartment with an equally isolated individual her only seeming friend. Into her life comes a near-silent man, who seemingly aimlessly wanders the city, and a small town waitress, who may hold the key to everyth... Leer todo",tt0119559
Dead Letter Office,"6,4",John Ruane,Deb Cox,"Alice's father left when she was a child. She continued to share her life with him in letters that she sent not realising that he never received them. Eventually, they all come back with ""Dead Letter Office"" stamped on the front. As an adult, she becomes consumed with a desire to find him and takes a job with the Dead Letter Office, convinced that she can use them to ... Leer todo",tt0118939
Los que me quieren cogerán el tren,"6,3",Patrice Chéreau,"Danièle Thompson, Patrice Chéreau, Pierre Trividic","Friends of a recently deceased minor painter Jean-Baptiste take a train in Paris for Limoges, where he wished to be buried, and all the people on the train have their problems.",tt0118834
Frauen lügen nicht,"3,8",Michael Juncker,"Michael Juncker, Siegbert Kammerer, Helmut Trunz",,tt0119149
Semillas de duda,"5,1",Peter Foldy,David Wiechorek,"Jennifer Kingsley, a newspaper journalist, believes a man has been falsely convicted of murder, and becomes set on proving his innocence.",tt0117593
Boogie Boy,"5,0",Craig Hamann,Craig Hamann,"A man who has just been released from prison vows to start a new life, but is put in danger when a drug addict cellmate appears.",tt0118748
Relación mortal,"5,5",Jonathan Darby,"Jonathan Darby, Jane Rusconi","Una pareja de Nueva York decide irse al campo a iniciar una familia. Sin embargo, algo va muy mal con su madre.",tt0118744
Trueno negro,"3,7",Rick Jacobson,William C. Martell,"A top secret stealth fighter is stolen. Only Navy Test Pilot Vince Connors can recover the plane and bring it back in one piece. Battling terrorists, and flying with deadly nerve gas, he has to evade his mentor, now the enemy's top pilot.",tt0118732
Alissa,"5,2",Didier Goldschmidt,"Christian Sonderegger, Bruno Dega, Didier Goldschmidt",The son of an editor discovers that one of his father's writers is a former criminal from the Eastern bloc.,tt0118584
Sangharsh,"6,7",Tanuja Chandra,"Mahesh Bhatt, Girish Dhamija, Thomas Harris","A rookie CBI officer must enlist the help of an incarcerated criminal in order to catch a serial child killer, who has recently escaped police custody.",tt0111068
El corredor de la muerte: Malevolence,"6,0",Belle Avery,Belle Avery,"A young prisoner tells his story to an FBI agent. How unjust judicial system, systematic abuse inside and political corruption and machinations outside turn someone who killed in defense into a hardened criminal.",tt0113747
Two-Eleven,"6,0",James Allen Bradley,"James Allen Bradley, Scott E. Chester","Two Eleven is a movie about a group of friends down on their luck, who re-unite to plan their 10 year high school reunion. Once they put aside their basic differences, they conjure up an outrageous scheme to get away from their problems.",tt0114758
Die Wand,"6,6",Klaus Maria Brandauer,"Karin Brandauer, Heide Kouba",,tt0114890
Ghost Taxi,"5,8",Donald G. Jackson,"Donald G. Jackson, Scott Shaw",Forty years ago Daredevil Dan Donovan was sent to the dark abyss. He has now been given one last chance to reenter the light. He must exchange his soul for the souls of thirteen other deserving candidates.,tt0116408
Jimmy Zip,"5,3",Robert McGinley,Robert McGinley,An abused runaway with pyromaniac tendencies teams up with a metal sculptor. Together they blow away the art world and a local crime boss.,tt0116703
La gran rueda del poder,"5,3",George Hickenlooper,"Orson Welles, Oja Kodar, F.X. Feeney","Blake Pellarin is on the campaign trail to become Governor of the state of Missouri. During his stop in St. Louis, a chance encounter brings his past roaring back to haunt him. Will the truth ruin his chances to be elected, or will he land the ""Big Brass Ring""?",tt0115675
Traición en la mafia,"4,4",Danny Aiello III,"John Cenatiempo, Michael Hogan",Two gangsters threaten the owner of an upscale restaurant after his son can't pay a gambling debt.,tt0119028
Making Waves,"7,1",George Saunders,George Saunders,A disturbed gynecologist and his friends learn the true meaning of love from angels aboard a yacht.,tt0110445
La mujer de mi profesor,"5,5",Bruce Leddy,Seth Greenland,A high school student has a romantic affair with his math tutor only to discover she is married to his math teacher.,tt0112444
Do You Wanna Dance?,"6,1",Michael A. Nickles,Robert Krantz,"Billy Duncan, a dance instructor, has fallen on hard times and is sentenced to community service time. His assignment? To give dance lessons to elderly parishioners at a local Greek church. Reluctant at first, Billy soon finds himself falling in love with a wealthy parishioner's daughter. With the help of an off-beat Priest, Billy is inspired into teaching dance again... Leer todo",tt0118994
Unos peques geniales,"2,6",Bob Clark,"Steven Paul, Francisca Matos, Robert Grasmere","Unos científicos tienen cautivos a bebés superinteligentes que hablan, pero las cosas se complican cuando se produce una confusión entre un bebé genio y su gemelo.",tt0118665
Naisen logiikka,"3,3",Spede Pasanen,Spede Pasanen,"A sketch comedy loosely tied together by the idea of comparing ""female"" and ""male"" logic.",tt0117148
Predators from Beyond Neptune,"4,7",Scott Mabbutt,"Tony Ferriter, Scott Mabbutt, Aaron McNally","Producer Leslie Miller and director David Johnson finally score a considerable budget for a science fiction film after years of working on shoestring allocations, but more money does not miraculously make a bad filmmaker churn out a better film. Predators from Beyond Neptune satirically spoofs the glossy making-of documentaries that often accompany the releases of Hol... Leer todo",tt0119936
Las bodas de Dios,"7,2",João César Monteiro,João César Monteiro,"After receiving a visit from a messenger of God, João de Deus wins his buddy's girlfriend through a roll of the dice.",tt0119413
Full Blast,"5,9",Eric Mintz,Eric Mintz,"Maceo is the manager of Motown's most popular club, the Motorfly. Business is going well, but Maceo has huge game debts that entrap him in the loops of the Detroit Mafia net.",tt0119163
Armageddon Boulevard,"6,3","Donald G. Jackson, Scott Shaw","Donald G. Jackson, Scott Shaw",,tt0118853
Payback,"7,1",Brian Helgeland,"Donald E. Westlake, Brian Helgeland, Terry Hayes","Tras un exitoso atraco, Porter es dado por muerto. Una vez recuperado, busca venganza y quiere su parte del dinero.",tt0120784
Velocity Trap,"4,5",Phillip J. Roth,"Patrick Phillips, Phillip J. Roth",A cop framed for murder is the only one not in cryosleep when a team of thieves boards the armored treasury spaceship he's on to steal its load - 40 billion universal dollars - and then ram the ship into a comet to cover their tracks.,tt0120435
Virus,"5,0",John Bruno,"Chuck Pfarrer, Dennis Feldman","Cuando la tripulación de un remolcador estadounidense aborda un barco de investigación ruso abandonado, la forma de vida extraterrestre a bordo los considera un virus que debe ser destruido.",tt0120458
Star Wars: Episodio I - La amenaza fantasma,"6,5",George Lucas,George Lucas,Dos caballeros jedi escapan de un bloqueo hostil para ir en busca de aliados y conocen a un joven que podría restaurar el equilibrio en la Fuerza. Pero los previamente inactivos sith resurgen para reclamar su antigua gloria.,tt0120915
Babel,"3,6",Gérard Pullicino,"Vincent Lambert, Gérard Pullicino, Serge Richez","Babel tells the story of the Babels, a strange breed of four-foot-tall creatures who once coexisted happily with human beings on planet Earth. However, when the humans built a huge tower to taunt God, he became angry and drove the Babels underground, while scattering the humans to the corners of the Earth and giving them different languages to keep them separate. Thou... Leer todo",tt0118664
Nachtvlinder,"4,9",Herman van Veen,Herman van Veen,"King Olaf of Haland is an albino who lives in a gloomy castle. Abraham Mogèn, an alchemist, wants to aid the king. But on his way to the castle he is murdered by the highwayman Wogram and his servant Onorg. Wogram disguises himself as the alchemist and wins the favor of the king.",tt0119751
Toy Story 2,"7,9","John Lasseter, Ash Brannon, Lee Unkrich","John Lasseter, Pete Docter, Ash Brannon","Cuando Woody es secuestrado por un coleccionista de juguetes, Buzz y sus amigos emprenden una misión de rescate, pero Woody encuentra tentadora la idea de ser inmortalizado en un museo.",tt0120363
Fantasía 2000,"7,1","James Algar, Gaëtan Brizzi, Paul Brizzi","Eric Goldberg, James Fujii, Joe Grant",Actualización de la película original con nuevas interpretaciones de grandes obras de la música clásica.,tt0120910
Cómo ser John Malkovich,"7,7",Spike Jonze,Charlie Kaufman,Un titiritero descubre un portal que conduce literalmente al jefe de la estrella de cine John Malkovich.,tt0120601
"Beowulf, la leyenda","4,1",Graham Baker,"Anonymous, Mark Leahy, David Chappe","En una tierra sitiada, Beowulf debe luchar contra la espantosa criatura Grendel y su madre que busca venganza.",tt0120604
The Mummy (La momia),"7,1",Stephen Sommers,"Stephen Sommers, Lloyd Fonvielle, Kevin Jarre","En una excavación arqueológica en la antigua ciudad de Hamunaptra, un estadounidense despierta accidentalmente a una momia que comienza a causar estragos mientras busca la reencarnación de su amor perdido.",tt0120616
Hellblock 13,"4,1",Paul Talbot,"Jeff Miller, Michael R. Smith, Paul Talbot","In a haunted death row cellblock, a deranged female serial killer reads a trio of twisted tales to her executioner.",tt0119277
Townies,"4,5",Wayne Alan Harold,Wayne Alan Harold,"Welcome to Schlarb, Ohio... a small county seat overrun by misfits, freaks and weirdos! Dickie is a lonely dumpster-driver who finds companionship in his latest dumpster discovery, a young woman's corpse! Pricey is a mute intellectually disabled girl with a lookalike baby-doll. When she loses her doll after an unsavory encounter with a mean cracker, she replaces it wi... Leer todo",tt0120361
The Coroner,"2,8","Juan Mas, Alan Smithee",Geralyn Ruane,"Eventually, everyone visits the Coroner. But City Coroner Dr. Leon Uraski isn't content with waiting for you to die. He's coming for you. Now.",tt0121152
La sombra del silencio,"4,6",Allan A. Goldstein,Tony Kayden,"A detective (Jeff Fahey) investigating the murders of two sex offenders gets involved with a beautiful district attorney (Marlee Matlin), who becomes the main suspect.",tt0120500
Sueños rotos,"6,4",Jonathan Kaplan,"Adam Fields, David Arata",Dos mujeres son arrestadas por contrabando durante sus vacaciones en Tailandia.,tt0120620
Foreign Correspondents,"6,2",Mark Tapio Kines,Mark Tapio Kines,Two stories of complicated long-distance relationships between people from different countries.,tt0123078
Eyes Wide Shut,"7,5",Stanley Kubrick,"Stanley Kubrick, Frederic Raphael, Arthur Schnitzler",Un médico de la ciudad de Nueva York se embarca en una angustiosa odisea nocturna de descubrimiento sexual y moral después de que su esposa le revele un doloroso secreto.,tt0120663
Ojos que te acechan,"5,0",Stephan Elliott,"Marc Behm, Stephan Elliott","Un experto en espionaje trabaja para los servicios secretos cuando una mujer mata a uno de los sujetos que está custodiando. En lugar de denunciar el hecho, el hombre acaba enamorándose de ella.",tt0120662
La milla verde,"8,6",Frank Darabont,"Stephen King, Frank Darabont","Las vidas de los guardias del corredor de la muerte se ven afectadas por uno de sus reclusos: un hombre negro acusado de asesinato y violación de niños, pero que tiene un misterioso don.",tt0120689
...Quando Troveja,"5,5",Manuel Mozos,"Manuel Mozos, Jeanne Waltz","The relationship between António and Ruth ends unexpectedly when Ruth decides to live with Pedro, António's best friend. António doesn't fight back and lets himself drown. From the woods come Violeta and Gaspar, two strange beings, a mixture of fairies, demons and guardian angels, who help António overcome his depression. With the thunders the two characters return to... Leer todo",tt0120798
Mientras nieva sobre los cedros,"6,7",Scott Hicks,"David Guterson, Ron Bass, Scott Hicks","Un japonés es acusado del asesinato de un pescador. Durante el juicio, el periodista que se encarga de efectuar la cobertura del proceso, reconoce a la esposa del acusado, su gran amor de juventud interrumpido cuando estalló la S.G.M.",tt0120834
eXistenZ,"6,8",David Cronenberg,David Cronenberg,Una diseñadora de videojuegos que se esconde de unos asesinos tiene que jugar su última creación de realidad virtual con un aprendiz de marketing para ver si el juego ha sido dañado.,tt0120907
Onegin,"6,8",Martha Fiennes,"Peter Ettedgui, Alexander Pushkin, Michael Ignatieff","Onegin hereda la finca de su tío y se muda allí desde San Petersburgo. Se hace amigo de su vecino, Lensky, y conoce a Tatyana a través de él. Ella se enamora de Onegin pero él solo quiere amistad.",tt0119079
My Girlfriend's Boyfriend,"4,9",Kenneth Schapiro,Kenneth Schapiro,My Girlfriend's Boyfriend,tt0119740
Un marido ideal,"6,8",Oliver Parker,"Oscar Wilde, Oliver Parker","Londres, 1895: El ministro del gabinete, Sir Chiltern, y el soltero, Lord Goring, son víctimas de mujeres confabuladoras.",tt0122541
Pasión salvaje,"3,6",Zalman King,Elise D'Haene,Una mujer que lleva a cabo un proyecto sobre la sexualidad de hombres y mujeres se ve obligada a enfrentarse a un secreto de su infancia.,tt0117617
Morella,"3,6",James Glenn Dudelson,"Ana Clavell, Edgar Allan Poe","Geneticists experiment with cloning. Fire destroys lab, daughter presumed dead. Investigators uncover deception, rogue clone driven by survival instinct, leaving destruction in its wake. Race to stop clone before it reproduces.",tt0119705
Godmoney,"4,5",Darren Doane,"Sean Atkins, Darren Doane, Sean Christopher Nelson","A streetwise young man tries to leave his sordid past behind him, but his past returns to haunt him when he meets a small-time drug dealer.",tt0119208
Night of the Coyote,"8,1",Ivan Entel,"Ivan Entel, Joy Stout",,tt0119786
Dementia,"4,4",Zeph E. Daniel,"Rick Fry, Zeph E. Daniel","An heiress who is being treated for a mental breakdown becomes attracted to her nurse, who seems to be similarly inclined. The nurse's ex-husband shows up and demonstrates his capacity for all things sadistic and psychotic, even murder.",tt0120416
Istota,"6,3",Andrzej Czarnecki,Mikhail Shelekhov,,tt0102362
Por la causa,"3,4","David Douglas, Tim Douglas","David Douglas, Christopher Salazar",Earth is in a state of constant war and two colonies of humans have been sent to a far away world. The colonists create a new civilization but have inherited the worst traits of their forebears and war breaks out again.,tt0113092
Florentino y el diablo,"7,0",Michael New,No disponible,"Florentino, un jinete y cantante libre, se enfrenta al diablo en un duelo de versos improvisados en las llanuras venezolanas. A medida que cambian las llanuras vírgenes, su voz y acciones desafían la lucha eterna entre el bien y el mal.",tt0113086
Karobaar: The Business of Love,"3,7",Rakesh Roshan,"Sachin Bhowmick, Ravi Kapoor, Sagar Sarhadi","Wealthy Rajiv Sinha and middle-classed Amar Saxena are two childhood friends, with similar likes, and tastes. Their similar habits lead them to being in love with the same woman - Seema, who loves Amar, and is willing to marry him no matter what. Rajiv attempts to offer money to Sapna's guardian so that he can marry her, in vain though. When Rajiv attempts to convince... Leer todo",tt0116748
Gang,"6,3",Mazhar Khan,No disponible,"Tras caer presa del inframundo, cuatro amigos ponen en peligro sus vidas personales con un punto de no retorno.",tt0116391
Consequence,"7,7",Samer Al-Asadi,No disponible,,tt0115937
Deseando amar,"8,1",Kar-Wai Wong,Kar-Wai Wong,"Dos vecinos forman un fuerte vínculo después de que ambos sospechen de actividades extramatrimoniales de sus cónyuges. Sin embargo, acuerdan mantener su vínculo platónico para no cometer errores similares.",tt0118694
Love 101,"5,1",Adrian Fulle,"Adrian Fulle, David J. Miller, Daniel Bingley","A group of raucous college buds living the Dorm life, decide to have a blowout while most of their friends are away for the Thanksgiving holiday. With LOVE 101 being the toughest course this semester, will they pass the final exam?",tt0119495
Nothing Sacred,"5,8","David Elliot, Mark Huppin","David Elliot, Mark Huppin","Three longtime pals live in San Francisco: Darin is married to Natalie, but their family life is too still and Darin is not happy about it, Matt is ladies' magnet but tired of it, trying to get something stable from his relationships, and goofy Kevin doesn't have any success with women at all. Darin starts an affair with his friend's wife Maxine and Matt falls deeply ... Leer todo",tt0119806
State and Main,"6,7",David Mamet,David Mamet,A movie crew invades a small town whose residents are all too ready to give up their values for showbiz glitz.,tt0120202
Bruno,"6,0",Shirley MacLaine,David Ciminello,"Bruno es un joven genio único, cuya expresión de su propia individualidad lleva a su familia y comunidad a lo largo de un viaje emocional.",tt0123003
Canciones del segundo piso,"7,5",Roy Andersson,Roy Andersson,"¿A dónde vamos los humanos? Un poema cinematográfico inspirado en el poeta peruano César Vallejo. Conocemos a gente en la ciudad. Personas que intentan comunicarse, buscan compasión y establecen la conexión con cosas pequeñas y grandes.",tt0120263
The Elf Who Didn't Believe,"3,8",Rodney McDonald,Karen Kelly,"Young elf Elmer wants to become a real boy. He steals Santa's sleigh and escapes to the real world, where he meets a young girl who needs a heart transplant.",tt0123055
Chicken Run: Evasión en la granja,"7,1","Peter Lord, Nick Park","Peter Lord, Nick Park, Karey Kirkpatrick","Cuando un gallo entra aparentemente volando en una granja de pollos, las gallinas lo ven como una oportunidad para escapar de sus malvados dueños.",tt0120630
Sociedad anónima,"6,3",Kenneth Guertin,"Kenneth Guertin, James Bonner","Alan Freeling, an idealistic inventor, discovers the ultimate energy source. Upon doing so he opens the door to a covert agency that funnels its every resource into destroying Alan's life and hiding this new technology. Their objective is to erase Alan and his family by any means necessary. In a turn of events, Robert Skotak, one of the top officials at the agency, de... Leer todo",tt0116628
Heavy Metal 2,"5,4","Michael Coldewey, Michel Lemire","Kevin Eastman, Simon Bisley, Eric Talbot","After surviving an invasion on her peaceful homeworld, a beautiful avenger must stop a powerful psychopath from gaining immortality and rescue her kidnapped sister.",tt0119273
Misión: Imposible 2,"6,1",John Woo,"Bruce Geller, Ronald D. Moore, Brannon Braga","""El agente del FMI Ethan Hunt es enviado a Sydney, para encontrar y destruir una enfermedad genéticamente modificada llamada """"Quimera"""".""",tt0120755
Titan A.E.,"6,6","Don Bluth, Gary Goldman","Hans Bauer, Randall McCormick, Ben Edlund",Un joven descubre que tiene que encontrar una nave terrestre oculta antes que una especie alienígena enemiga para asegurar la supervivencia de la humanidad.,tt0120913
Foiled,"6,6",Henry Burrows,Henry Burrows,"Four students sharing a house in Manchester are rudely interrupted one evening when their pizza-delivery man is attacked and taken over by couple of aliens that have crash-landed their spacecraft, and then the aliens decide that all witnesses to their existence must be eliminated...",tt0120673
X-Men,"7,3",Bryan Singer,"Tom DeSanto, Bryan Singer, David Hayter","En un mundo donde los mutantes (humanos superpoderosos evolucionados) existen y son discriminados, dos grupos se forman para un choque inevitable: la supremacista Hermandad y los pacifistas X-Men.",tt0120903
El emperador y sus locuras,"7,4",Mark Dindal,"Chris Williams, Mark Dindal, David Reynolds","El emperador Kuzco fue convertido en una llama por su exadministradora Yzma, y ahora debe recuperar su trono con la ayuda de Pacha, un amable pastor de llamas.",tt0120917
Dinosaurio,"6,4","Eric Leighton, Ralph Zondag","Thom Enriquez, John Harrison, Robert Nelson Jacobs",Un dinosaurio huérfano criado por lémures se une a un arduo viaje a un santuario después de que una lluvia de meteoritos destruya la casa de su familia.,tt0130623
El Cuervo: Salvación,"4,9",Bharat Nalluri,"James O'Barr, Chip Johannessen",Alex Corvis returns to the world of the living to solve the murder of a young woman that he was wrongly accused of.,tt0132910
Las aventuras de Rocky y Bullwinkle,"4,3",Des McAnuff,"Jay Ward, Kenneth Lonergan","Cuando los enemigos Boris, Natasha y Líder Temerario escapan al mundo real con un plan nefasto, Rocky y Bullwinkle hacen lo mismo, y se unen a un joven agente del FBI para detener al trío.",tt0131704
La ruta hacia El Dorado,"6,9","Bibo Bergeron, Don Paul, Jeffrey Katzenberg","Ted Elliott, Terry Rossio, Karey Kirkpatrick","Dos estafadores consiguen un mapa que les llevará a la famosa ciudad de oro, El Dorado.",tt0138749
Los inmortales: Juego final,"4,6",Douglas Aarniokoski,"Gregory Widen, Eric Bernt, Gillian Horvath","Los inmortales Connor y Duncan MacLeod deben unir sus fuerzas contra Kell, un inmortal malvado que es demasiado fuerte para que nadie se le enfrente solo.",tt0144964
Red Lipstick,"6,5",Alexandra King,Alexandra King,Two draq queens go on a Bonnie & Clyde rampage around New York City... but neither one wants to be Clyde,tt0144574
La leyenda de Bagger Vance,"6,7",Robert Redford,"Steven Pressfield, Jeremy Leven",Un golfista venido a menos intenta recuperar su juego y su vida con la ayuda de un cadi místico.,tt0146984
Deadfall,"4,9",Vince Di Meglio,"Vince Di Meglio, Brady Fischer","A dark supernatural force is unleashed, spoiling a weekend trip.",tt0128158
Scream 3,"5,7",Wes Craven,"Kevin Williamson, Ehren Kruger","Mientras Sidney y sus amigos visitan el set de Hollywood de Apuñalada 3, la tercera película basada en los asesinatos de Woodsboro, otro asesino, Ghostface, se presenta para aterrorizarlos.",tt0134084
Supernova (El fin del universo),"4,8","Walter Hill, Francis Ford Coppola, Jack Sholder","William Malone, Daniel Chuba, David C. Wilson",La crónica de una operación de búsqueda y rescate por una nave interestelar médica con seis tripulantes en el siglo XXII.,tt0134983
