Título,Puntuación IMDb,Directores,Guionistas,Argumento,ID
Directos al infierno,"5,0",Jeff Burr,"Jeff Burr, Mark Hannah","When two young American GIs desert their platoon in the final days of World War II, they will find themselves struggling against all odds to stay alive.",tt0287733
Killer Weekend,"3,5",,,No disponible,tt0287795
Suske en Wiske: De duistere diamant,"4,8",,,No disponible,tt0289933
Fascinación,"3,8",,,No disponible,tt0305632
Harry Potter y el prisionero de Azkaban,"7,9",Alfonso Cuarón,J.K. RowlingSteve Kloves,"Harry Potter, Ron y Hermione regresan al Colegio Hogwarts de Magia y Hechicería para cursar su tercer año de estudios, donde se adentran en el misterio que rodea a un preso fugado que supone una peligrosa amenaza para el joven mago.",tt0304141
Abuso de poder,"5,1",,,No disponible,tt0206771
2046,"7,4",Kar-Wai Wong,Kar-Wai Wong,"Varias mujeres entran en la vida de un autor de ciencia ficción en el transcurso de unos años, después de que el autor haya perdido a la mujer que él considera su único amor verdadero.",tt0212712
Roomies,"4,1",,,No disponible,tt0224025
True Vinyl,"5,0",,,No disponible,tt0229792
Life Sentence,"6,3",,,No disponible,tt0218400
Till Proven Innocent,"5,0",,,No disponible,tt0235219
The 24th Day,"6,4",,,No disponible,tt0246404
